time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2020/10/23/20:07:59.311166,408,1603480079,277526908,map,0.0509182886756,0.00118211507796,0.00103171953865,0.0,-0.00428117149324,-0.0104132487696,0.999936615902
2020/10/23/20:07:59.344695,409,1603480079,310871908,map,0.0523918581086,0.00109679698972,0.00105405566092,0.0,-0.0043330661824,-0.0105341800706,0.99993512569
2020/10/23/20:07:59.378216,410,1603480079,344119908,map,0.0540749124487,0.00104991391218,0.00114619707467,0.0,-0.00418079683865,-0.0107123216647,0.999933881365
2020/10/23/20:07:59.411120,411,1603480079,377623908,map,0.0558181576252,0.00103418991084,0.00115957756526,0.000122070315863,-0.00415577285264,-0.0108113235978,0.999932912716
2020/10/23/20:07:59.444191,412,1603480079,411063908,map,0.0577274539067,0.000952787996609,0.00127139023519,0.0,-0.0040578051053,-0.0108175241828,0.999933255467
2020/10/23/20:07:59.478015,413,1603480079,444212908,map,0.05945559818,0.000927923620312,0.00131152416308,0.0,-0.00408525400585,-0.0109707193781,0.99993147466
2020/10/23/20:07:59.510742,414,1603480079,477756908,map,0.060914323584,0.000854879765202,0.00135583092465,0.0,-0.00409800040013,-0.0108875490717,0.999932331544
2020/10/23/20:07:59.544655,415,1603480079,510937908,map,0.0625894868559,0.000700812935623,0.00139399326736,0.0,-0.00419502940283,-0.0110066542957,0.999930625238
2020/10/23/20:07:59.578003,416,1603480079,544056908,map,0.0643787266362,0.000650217385832,0.00140125553948,0.000211431983741,-0.00396305749597,-0.011243730075,0.999928911476
2020/10/23/20:07:59.610745,417,1603480079,577516908,map,0.0662682846705,0.000577901750857,0.00154914481089,0.000211431988495,-0.00369250091512,-0.0111799347287,0.999930662493
2020/10/23/20:07:59.644245,418,1603480079,610916908,map,0.0681965741477,0.000337927789425,0.00171194528877,0.000122070313112,-0.0037624596341,-0.0111985793898,0.999930207973
2020/10/23/20:07:59.678295,419,1603480079,644147908,map,0.0696214158086,0.000236560406359,0.0017386329142,0.000272957534307,-0.00399861830527,-0.0113643469328,0.999927391446
